date,lowest_price,median_price,highest_price
2021-06-26,21.80666666666667,31.953333333333333,32.20666666666667
2021-06-27,21.80666666666667,31.953333333333333,32.20666666666667
2021-06-28,21.80666666666667,31.953333333333333,32.20666666666667
2021-06-29,21.80666666666667,31.953333333333333,32.20666666666667
2021-06-30,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-01,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-02,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-03,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-04,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-05,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-06,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-07,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-08,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-09,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-10,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-11,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-12,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-13,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-14,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-15,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-16,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-17,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-18,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-19,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-20,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-21,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-22,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-23,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-24,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-25,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-26,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-27,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-28,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-29,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-30,21.80666666666667,31.953333333333333,32.20666666666667
2021-07-31,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-01,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-02,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-03,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-04,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-05,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-06,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-07,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-08,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-09,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-10,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-11,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-12,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-13,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-14,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-15,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-16,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-17,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-18,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-19,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-20,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-21,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-22,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-23,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-24,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-25,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-26,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-27,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-28,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-29,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-30,21.80666666666667,31.953333333333333,32.20666666666667
2021-08-31,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-01,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-02,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-03,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-04,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-05,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-06,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-07,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-08,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-09,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-10,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-11,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-12,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-13,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-14,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-15,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-16,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-17,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-18,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-19,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-20,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-21,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-22,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-23,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-24,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-25,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-26,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-27,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-28,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-29,21.80666666666667,31.953333333333333,32.20666666666667
2021-09-30,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-01,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-02,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-03,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-04,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-05,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-06,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-07,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-08,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-09,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-10,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-11,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-12,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-13,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-14,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-15,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-16,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-17,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-18,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-19,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-20,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-21,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-22,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-23,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-24,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-25,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-26,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-27,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-28,21.80666666666667,31.953333333333333,32.20666666666667
